Identifiant| Tissular Location | Subcellular Location | Interactans | Family name | Chain Nature 
APEL_HUMAN | ['Brain', 'Brain', 'Hypothalamus', 'Kidney'] | ['Secreted'] | ['EBI-8869590', 'EBI-749343', 'EBI-701918', 'EBI-491549', 'EBI-397872', 'EBI-723489', 'EBI-7848109', 'EBI-702484', 'EBI-1004115', 'EBI-357345'] |  | signal peptide
APEX1_HUMAN | ['Melanocyte', 'Placenta', 'Bone marrow, Leukocyte', 'Carcinoma', 'Leukocyte', 'Brain', 'Brain, Lung, Skin', 'Placenta'] | ['Nucleus', 'Nucleolus', 'Nucleus speckle', 'Endoplasmic reticulum', 'Cytoplasm', 'Mitochondrion'] | ['EBI-447295', 'EBI-1802965'] | DNA-(apurinic or apyrimidinic  | initiator methionine
APEX2_HUMAN | ['Leukemia', 'Lung tumor', 'Bone marrow', 'Lung tumor', 'Lung', 'Cervix carcinoma'] | ['Nucleus', 'Cytoplasm', 'Mitochondrion'] | ['EBI-447295', 'EBI-1802965'] | DNA-(apurinic or apyrimidinic  | chain
APH1A_HUMAN | ['Glioblastoma', 'Retinoblastoma, Thyroid', 'Adrenal gland, Brain, Cervix, Eye, Glial tumor, Lung'] | ['Endoplasmic reticulum membrane', 'Golgi apparatus', 'Golgi stack membrane'] | ['EBI-998440'] | Gamma-secretase subunit APH-1A  | chain
APH1B_HUMAN | ['Brain', 'Placenta', 'Glioblastoma'] | ['Membrane'] | ['EBI-998440'] | Gamma-secretase subunit APH-1B  | chain
API5_HUMAN | ['Liver', 'Brain', 'Lymph', 'Ovarian carcinoma', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Nucleus', 'Cytoplasm'] | ['EBI-6976596'] | Apoptosis inhibitor  | initiator methionine
APJ_HUMAN | ['Brain'] | ['Cell membrane'] | ['EBI-6976596'] |  | chain
APLD1_HUMAN | ['Testis', 'Brain', 'Eye'] | ['Cell membrane'] | ['EBI-6976596'] | Apolipoprotein domain-containing  | chain
APLF_HUMAN | ['Liver', 'Testis'] | ['Nucleus', 'Cytoplasm', 'Cytosol'] | ['EBI-847896', 'EBI-355676', 'EBI-947466', 'EBI-717592', 'EBI-357997'] | Aprataxin and PNK-like  | chain
APLP1_HUMAN | ['Brain, Ovary', 'Cerebrospinal fluid'] | ['Cell membrane', 'Cytoplasm'] | ['EBI-79306', 'EBI-302641', 'EBI-394357', 'EBI-707773'] | Amyloid-like protein  | signal peptide
APLP2_HUMAN | ['Placenta', 'Brain', 'Ovary', 'Testis', 'Brain', 'Testis', 'Lung, Pancreas'] | ['Cell membrane', 'Nucleus'] | ['EBI-74648', 'EBI-302641', 'EBI-1043164', 'EBI-913209', 'EBI-852823', 'EBI-394357'] | Amyloid-like protein  | signal peptide
APMAP_HUMAN | ['Adipose tissue, Testis', 'Muscle', 'Plasma', 'Liver'] | ['Membrane'] | ['EBI-74648', 'EBI-302641', 'EBI-1043164', 'EBI-913209', 'EBI-852823', 'EBI-394357'] | Adipocyte plasma membrane-associated  | initiator methionine
APOA1_HUMAN | ['Testis', 'Brain, Skeletal muscle', 'Serum', 'Heart', 'Platelet', 'Brain, Cajal-Retzius cell, Fetal brain cortex'] | ['Secreted'] | ['EBI-784112', 'EBI-77613', 'EBI-348571', 'EBI-1220767'] |  | signal peptide
APOA2_HUMAN | ['Liver', 'Skeletal muscle', 'Plasma', 'Serum'] | ['Secreted'] | ['EBI-784112', 'EBI-77613', 'EBI-348571', 'EBI-1220767'] |  | signal peptide
APOA4_HUMAN | ['Intestine', 'Brain, Colon'] | ['Secreted'] | ['EBI-784112', 'EBI-77613', 'EBI-348571', 'EBI-1220767'] |  | signal peptide
APOA5_HUMAN | ['Liver', 'Liver'] | ['Secreted'] | ['EBI-784112', 'EBI-77613', 'EBI-348571', 'EBI-1220767'] |  | signal peptide
APOA_HUMAN | ['Lymphocyte'] | [] | ['EBI-2114682', 'EBI-1220319'] |  | signal peptide
APOBR_HUMAN | ['Monocytic leukemia, Placenta', 'Placenta'] | ['Cell membrane'] | ['EBI-2114682', 'EBI-1220319'] | Apolipoprotein receptor  | chain
APOB_HUMAN | ['Liver', 'Small intestine', 'Liver', 'Plasma', 'Plasma', 'Liver'] | ['Cytoplasm', 'Secreted'] | ['EBI-8826488', 'EBI-988319'] |  | signal peptide
APOC1_HUMAN | ['Liver', 'Lung'] | ['Secreted'] | ['EBI-8826488', 'EBI-988319'] |  | signal peptide
APOC2_HUMAN | ['Skeletal muscle'] | ['Secreted'] | ['EBI-8826488', 'EBI-988319'] |  | signal peptide
APOC3_HUMAN | ['Pancreas, Spleen', 'Cerebrospinal fluid'] | ['Secreted'] | ['EBI-8826488', 'EBI-988319'] |  | signal peptide
APOC4_HUMAN | ['Liver', 'Lung', 'Plasma'] | ['Secreted'] | ['EBI-8826488', 'EBI-988319'] |  | signal peptide
APOD_HUMAN | ['Cerebellum', 'Skin', 'Plasma', 'Lacrimal gland', 'Plasma', 'Plasma', 'Liver', 'Cerebrospinal fluid'] | ['Secreted'] | ['EBI-8826488', 'EBI-988319'] |  | signal peptide
APOE_HUMAN | ['Cerebellum', 'Eye', 'Blood', 'Cerebrospinal fluid'] | ['Secreted'] | ['EBI-295634', 'EBI-712452', 'EBI-1220767', 'EBI-988319', 'EBI-2681187', 'EBI-9209835', 'EBI-366182', 'EBI-935824', 'EBI-357285', 'EBI-726731'] |  | signal peptide
APOF_HUMAN | ['Hepatoma', 'Liver, Plasma', 'Liver'] | ['Secreted'] | ['EBI-295634', 'EBI-712452', 'EBI-1220767', 'EBI-988319', 'EBI-2681187', 'EBI-9209835', 'EBI-366182', 'EBI-935824', 'EBI-357285', 'EBI-726731'] |  | signal peptide
APOH_HUMAN | ['Liver', 'Liver', 'Liver', 'Liver', 'Liver', 'Ovarian follicular fluid', 'Bile', 'Plasma', 'Plasma', 'Saliva', 'Liver', 'Cerebrospinal fluid', 'Plasma'] | ['Secreted'] | ['EBI-9232288'] |  | signal peptide
APOL1_HUMAN | ['Pancreas', 'Pancreas', 'Placenta', 'Placenta', 'Plasma'] | ['Secreted'] | ['EBI-9232288'] |  | signal peptide
APOL2_HUMAN | ['Placenta', 'Pancreas', 'Endothelial cell', 'Salivary gland', 'Brain', 'Placenta', 'Embryonic kidney', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Cytoplasm'] | ['EBI-9232288'] |  | chain
APOL3_HUMAN | ['Endothelial cell', 'Pancreas', 'Placenta', 'Blood, Testis'] | ['Cytoplasm'] | ['EBI-9232288'] |  | chain
APOL4_HUMAN | ['Pancreas', 'Placenta'] | ['Secreted'] | ['EBI-9232288'] |  | signal peptide
APOL5_HUMAN | ['Placenta'] | ['Cytoplasm'] | ['EBI-375543', 'EBI-886', 'EBI-515315', 'EBI-401755', 'EBI-389883', 'EBI-79464', 'EBI-621482'] |  | chain
APOM_HUMAN | ['Liver', 'Umbilical cord blood', 'Embryonic stem cell', 'Liver', 'Plasma', 'Liver'] | ['Secreted'] | ['EBI-375543', 'EBI-886', 'EBI-515315', 'EBI-401755', 'EBI-389883', 'EBI-79464', 'EBI-621482'] |  | chain
APOL6_HUMAN | ['Placenta', 'Lymph node', 'Lymph'] | ['Cytoplasm'] | ['EBI-375543', 'EBI-886', 'EBI-515315', 'EBI-401755', 'EBI-389883', 'EBI-79464', 'EBI-621482'] |  | chain
APOO_HUMAN | ['Fetal brain', 'Brain', 'Lung, Skin, Urinary bladder'] | ['Membrane', 'Secreted'] | ['EBI-375543', 'EBI-886', 'EBI-515315', 'EBI-401755', 'EBI-389883', 'EBI-79464', 'EBI-621482'] |  | signal peptide
APOP1_HUMAN | ['Ovary', 'Ovary'] | ['Mitochondrion'] | ['EBI-375543', 'EBI-886', 'EBI-515315', 'EBI-401755', 'EBI-389883', 'EBI-79464', 'EBI-621482'] | Apoptogenic protein 1,  | transit peptide
APRG1_HUMAN | ['Heart, Kidney, Placenta', 'Brain'] | ['Membrane'] | ['EBI-375543', 'EBI-886', 'EBI-515315', 'EBI-401755', 'EBI-389883', 'EBI-79464', 'EBI-621482'] | AP20 region protein  | chain
APRIO_HUMAN | [] | ['Mitochondrion outer membrane'] | ['EBI-375543', 'EBI-886', 'EBI-515315', 'EBI-401755', 'EBI-389883', 'EBI-79464', 'EBI-621482'] | Alternative prion protein  | chain
APRV1_HUMAN | ['Epidermis', 'Cerebellum, Teratocarcinoma', 'Skin'] | ['Membrane'] | ['EBI-375543', 'EBI-886', 'EBI-515315', 'EBI-401755', 'EBI-389883', 'EBI-79464', 'EBI-621482'] | Retroviral-like aspartic protease  | propeptide
APR_HUMAN | ['Ovary, Uterus'] | ['Mitochondrion'] | ['EBI-77694', 'EBI-4370304', 'EBI-1003422'] | Phorbol-12-myristate-13-acetate-induced protein  | chain
APTX_HUMAN | ['Hypothalamus, Kidney, Lung adenocarcinoma, Lymphoma, Melanoma, Muscle, Retinoblastoma, Skin, Testis', 'Colon', 'Endometrium', 'Brain, Lung, Lymph', 'Brain'] | ['Nucleus', 'Nucleoplasm', 'Nucleolus', 'Cytoplasm'] | ['EBI-355676', 'EBI-947466', 'EBI-717592'] |  | chain
APT_HUMAN | ['Liver', 'Uterine endothelium', 'Astrocytoma', 'Platelet'] | ['Cytoplasm'] | ['EBI-355676', 'EBI-947466', 'EBI-717592'] |  | initiator methionine
AQ12A_HUMAN | ['Pancreas'] | ['Membrane'] | ['EBI-355676', 'EBI-947466', 'EBI-717592'] |  | chain
AQ12B_HUMAN | [] | ['Membrane'] | ['EBI-355676', 'EBI-947466', 'EBI-717592'] |  | chain
AQP10_HUMAN | ['Jejunum', 'Lung'] | ['Membrane'] | ['EBI-355676', 'EBI-947466', 'EBI-717592'] |  | chain
AQP11_HUMAN | ['Teratocarcinoma', 'Brain'] | ['Membrane'] | ['EBI-355676', 'EBI-947466', 'EBI-717592'] |  | chain
AQP1_HUMAN | ['Retinal pigment epithelium', 'Uterus', 'Mesangial cell', 'Brain', 'Articular cartilage'] | ['Cell membrane'] | ['EBI-724076'] |  | initiator methionine
AQP2_HUMAN | ['Kidney', 'Kidney', 'Colon'] | ['Apical cell membrane', 'Basolateral cell membrane', 'Cytoplasmic vesicle membrane', 'Golgi apparatus', 'trans-Golgi network membrane'] | ['EBI-724076'] |  | chain
AQP3_HUMAN | ['Kidney', 'Blood', 'Esophagus, Trachea', 'Lung'] | ['Basolateral cell membrane'] | ['EBI-724076'] |  | chain
AQP4_HUMAN | ['Fetal brain', 'Lung'] | ['Membrane'] | ['EBI-724076'] |  | chain
AQP5_HUMAN | ['Testis'] | ['Membrane'] | ['EBI-724076'] |  | chain
AQP6_HUMAN | ['Kidney'] | ['Cytoplasmic vesicle membrane'] | ['EBI-724076'] |  | chain
AQP73_HUMAN | [] | ['Membrane'] | ['EBI-724076'] | Putative aquaporin-7-like protein  | chain
AQP7_HUMAN | ['Adipose tissue', 'Skeletal muscle'] | ['Membrane'] | ['EBI-724076'] |  | chain
AQP8_HUMAN | ['Testis', 'Colon', 'Colon'] | ['Membrane'] | ['EBI-724076'] |  | chain
AQP9_HUMAN | ['Liver', 'Liver'] | ['Membrane'] | ['EBI-724076'] |  | chain
AQR_HUMAN | ['Brain', 'Uterus', 'Cervix, Mammary gland'] | ['Nucleus'] | ['EBI-3920997'] | Intron-binding protein aquarius  | chain
AR13A_HUMAN | ['Testis', 'Testis'] | [] | ['EBI-3920997'] | ADP-ribosylation factor-like protein  | chain
AR13B_HUMAN | ['Amygdala', 'Brain'] | ['Cell projection', 'Cilium membrane'] | ['EBI-3920997'] | ADP-ribosylation factor-like protein  | chain
AR26L_HUMAN | ['Testis'] | [] | ['EBI-3920997'] | Putative ankyrin repeat  | chain
AR2BP_HUMAN | ['Ovary', 'Brain, Mammary gland'] | ['Cytoplasm', 'Mitochondrion intermembrane space', 'Cytoskeleton', 'Microtubule organizing center', 'Centrosome', 'Nucleus', 'Spindle', 'Cilium basal body'] | ['EBI-3920997'] | ADP-ribosylation factor-like protein  | chain
AR6P1_HUMAN | ['Bone marrow', 'Placenta'] | ['Endomembrane system'] | ['EBI-740459'] | ADP-ribosylation factor-like protein  | chain
AR6P4_HUMAN | ['Brain, Eye, Skin, Uterus', 'Lung', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Nucleus', 'Nucleolus', 'Nucleus speckle'] | ['EBI-81279'] | ADP-ribosylation factor-like protein  | chain
AR6P6_HUMAN | ['Esophagus', 'Brain, Lung', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Membrane'] | ['EBI-81279'] | ADP-ribosylation factor-like protein  | chain
ARAF_HUMAN | ['Placenta', 'Placenta', 'Kidney', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | [] | ['EBI-536842', 'EBI-365980', 'EBI-350590', 'EBI-536811', 'EBI-536772', 'EBI-352572', 'EBI-447733', 'EBI-968267', 'EBI-1056930', 'EBI-536725', 'EBI-536866', 'EBI-536853', 'EBI-353408', 'EBI-536755', 'EBI-536715', 'EBI-491037', 'EBI-861737', 'EBI-355175', 'EBI-528644', 'EBI-347088'] | Serine/threonine-protein kinase A-Raf  | chain
ARAID_HUMAN | ['Kidney', 'Umbilical cord blood', 'Skeletal muscle', 'Neuroblastoma', 'Brain, Placenta, Uterus'] | ['Nucleus envelope', 'Cell membrane'] | ['EBI-947754', 'EBI-77848'] | All-trans retinoic acid-induced  | signal peptide
ARAP1_HUMAN | ['Brain', 'Brain', 'Brain, Pancreas', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm', 'Golgi apparatus', 'Golgi stack membrane', 'Cell membrane'] | ['EBI-8753518', 'EBI-518861', 'EBI-353208'] | Arf-GAP with Rho-GAP  | chain
ARAP2_HUMAN | ['Brain'] | ['Cytoplasm'] | ['EBI-8753518', 'EBI-518861', 'EBI-353208'] | Arf-GAP with Rho-GAP  | chain
ARAP3_HUMAN | ['Hippocampus', 'Cervix carcinoma'] | ['Cytoplasm', 'Cytoskeleton', 'Cell membrane', 'Cell projection', 'Lamellipodium', 'Ruffle'] | ['EBI-346595'] | Arf-GAP with Rho-GAP  | chain
ARAS1_HUMAN | ['Ovary'] | [] | ['EBI-346595'] | Putative uncharacterized protein  | chain
ARBK1_HUMAN | ['Blood', 'PNS, Testis', 'Platelet'] | [] | ['EBI-2869495', 'EBI-466061', 'EBI-389668', 'EBI-3390054'] | Beta-adrenergic receptor kinase  | chain
ARBK2_HUMAN | ['Brain'] | [] | ['EBI-2869495', 'EBI-466061', 'EBI-389668', 'EBI-3390054'] | Beta-adrenergic receptor kinase  | chain
ARC1A_HUMAN | ['Pancreas, Uterus'] | ['Cytoplasm', 'Cytoskeleton'] | ['EBI-2869495', 'EBI-466061', 'EBI-389668', 'EBI-3390054'] | Actin-related protein 2/3  | chain
ARC1B_HUMAN | ['Lung, Placenta, Skin', 'Platelet', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm', 'Cytoskeleton'] | ['EBI-2869495', 'EBI-466061', 'EBI-389668', 'EBI-3390054'] | Actin-related protein 2/3  | initiator methionine
ARCH_HUMAN | [] | [] | ['EBI-2869495', 'EBI-466061', 'EBI-389668', 'EBI-3390054'] |  | initiator methionine
ARC_HUMAN | ['Forebrain', 'Brain', 'Brain, Uterus'] | ['Cytoplasm', 'Cytoskeleton', 'Endosome', 'Cytoplasmic vesicle', 'Secretory vesicle', 'Acrosome', 'Cell junction', 'Synapse', 'Postsynaptic cell membrane', 'Postsynaptic density', 'Cell projection', 'Dendrite', 'Dendritic spine'] | ['EBI-2869495', 'EBI-466061', 'EBI-389668', 'EBI-3390054'] | Activity-regulated cytoskeleton-associated protein  | chain
AREG_HUMAN | ['Brain'] | ['Membrane'] | ['EBI-717058'] |  | signal peptide
AREL1_HUMAN | ['Brain', 'Trachea', 'Testis'] | ['Cytoplasm', 'Cytosol'] | ['EBI-717058'] | Apoptosis-resistant ubiquitin  | chain
ARF1_HUMAN | ['Brain', 'Brain', 'Cervix, Eye, Kidney', 'Fetal brain cortex'] | ['Golgi apparatus', 'Cytoplasm', 'Perinuclear region', 'Cell junction', 'Synapse', 'Synaptosome', 'Postsynaptic cell membrane', 'Postsynaptic density'] | ['EBI-448974', 'EBI-1023301'] | ADP-ribosylation factor  | initiator methionine
ARF3_HUMAN | ['Cerebellum', 'Brain', 'Placenta', 'Brain, Lung, Skin'] | ['Golgi apparatus', 'Cytoplasm', 'Perinuclear region'] | ['EBI-448974', 'EBI-1023301'] | ADP-ribosylation factor  | initiator methionine
ARF4_HUMAN | ['Brain', 'Cerebellum', 'Bone marrow, Placenta, Skin, Urinary bladder'] | ['Golgi apparatus'] | ['EBI-947779'] | ADP-ribosylation factor  | initiator methionine
ARF5_HUMAN | ['Brain', 'Lung, Skin'] | ['Golgi apparatus', 'Cytoplasm', 'Perinuclear region'] | ['EBI-947779'] | ADP-ribosylation factor  | initiator methionine
ARF6_HUMAN | ['Umbilical cord blood', 'Brain', 'Trachea', 'Skin, Uterus', 'Leukocyte'] | ['Golgi apparatus', 'Cell membrane', 'Endosome membrane', 'Recycling endosome membrane', 'Cell projection', 'Filopodium membrane', 'Midbody', 'Cytoplasm', 'Cleavage furrow'] | ['EBI-638194', 'EBI-988663', 'EBI-306852', 'EBI-1023301'] | ADP-ribosylation factor  | initiator methionine
ARFG1_HUMAN | ['Thymus', 'Brain, Fetal brain', 'Testis', 'Fetal brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm', 'Golgi apparatus'] | ['EBI-5323863'] | ADP-ribosylation factor GTPase-activating  | chain
ARFG2_HUMAN | ['Brain, Teratocarcinoma, Testis', 'Eye', 'Amygdala', 'Neuroblastoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm', 'Golgi apparatus membrane'] | ['EBI-5323863'] | ADP-ribosylation factor GTPase-activating  | initiator methionine
ARFG3_HUMAN | ['Placenta', 'Lung', 'Testis', 'Placenta', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm', 'Golgi apparatus membrane'] | ['EBI-524753'] | ADP-ribosylation factor GTPase-activating  | chain
ARFP1_HUMAN | ['Liver', 'Brain', 'Brain, Uterus', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | [] | ['EBI-524753'] |  | initiator methionine
ARFP2_HUMAN | ['Testis, Uterus', 'Lung', 'Cervix carcinoma'] | [] | ['EBI-638181', 'EBI-413628'] |  | chain
ARFRP_HUMAN | ['Brain', 'Brain, Placenta'] | ['Golgi apparatus'] | ['EBI-638181', 'EBI-413628'] | ADP-ribosylation factor-related protein  | chain
ARG28_HUMAN | ['Brain', 'Amygdala, Hepatoma, Kidney epithelium', 'Brain, Kidney', 'Cervix carcinoma'] | ['Cytoplasm', 'Cell membrane'] | ['EBI-638181', 'EBI-413628'] | Rho guanine nucleotide  | chain
ARG33_HUMAN | ['Caudate nucleus'] | [] | ['EBI-638181', 'EBI-413628'] | Rho guanine nucleotide  | chain
ARG35_HUMAN | ['Mammary gland', 'Cervix carcinoma'] | [] | ['EBI-638181', 'EBI-413628'] | Rho guanine nucleotide  | chain
ARG39_HUMAN | ['Lymphoblast', 'Placenta, Testis'] | ['Cell membrane'] | ['EBI-638181', 'EBI-413628'] | Rho guanine nucleotide  | chain
ARGAL_HUMAN | ['Embryonic kidney', 'Brain', 'Mesangial cell, Teratocarcinoma', 'Colon, Eye, Kidney'] | ['Cytoplasm'] | ['EBI-638181', 'EBI-413628'] | Rho guanine nucleotide  | chain
ARGFX_HUMAN | [] | ['Nucleus'] | ['EBI-638181', 'EBI-413628'] |  | chain
ARGI1_HUMAN | ['Liver', 'Blood', 'Erythroblast', 'Liver, Skeletal muscle', 'Liver'] | ['Cytoplasm'] | ['EBI-638181', 'EBI-413628'] |  | chain
ARGI2_HUMAN | ['Kidney', 'Erythroblast', 'Hippocampus', 'Brain, Lung, Muscle, Prostate, Testis'] | ['Mitochondrion'] | ['EBI-638181', 'EBI-413628'] |  | transit peptide
ARGL1_HUMAN | ['Embryo, Thymus', 'Testis', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Nucleus'] | ['EBI-593303'] | Arginine and glutamate-rich  | chain
ARH37_HUMAN | ['Tongue'] | [] | ['EBI-593303'] | Rho guanine nucleotide  | chain
ARH38_HUMAN | ['Colon mucosa'] | [] | ['EBI-593303'] | Rho guanine nucleotide  | chain
ARH40_HUMAN | ['Spleen, Teratocarcinoma', 'Kidney', 'Testis', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Cytoplasm'] | ['EBI-593303'] | Rho guanine nucleotide  | chain
ARHG1_HUMAN | ['B-cell, Muscle, Placenta', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm', 'Membrane'] | ['EBI-465387', 'EBI-7864788'] | Rho guanine nucleotide  | chain
ARHG2_HUMAN | ['Cervix carcinoma', 'Brain', 'Brain', 'Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Platelet', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm', 'Cell junction', 'Tight junction', 'Golgi apparatus', 'Cytoskeleton', 'Spindle', 'Cell projection', 'Ruffle membrane', 'Cytoplasmic vesicle'] | ['EBI-347088'] | Rho guanine nucleotide  | chain
ARHG3_HUMAN | ['Testis', 'Brain, Placenta', 'Brain', 'Hippocampus, Uterus'] | ['Cytoplasm'] | ['EBI-347088'] | Rho guanine nucleotide  | chain
ARHG4_HUMAN | ['Fetal brain', 'Brain'] | ['Cytoplasm', 'Cell projection', 'Ruffle membrane'] | ['EBI-347088'] | Rho guanine nucleotide  | chain
ARHG5_HUMAN | ['Epithelium', 'Spleen', 'Placenta, Skin', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma'] | [] | ['EBI-401755'] | Rho guanine nucleotide  | chain
ARHG6_HUMAN | ['Brain, Placenta', 'Adipose tissue', 'Testis', 'Bone marrow', 'Leukemic T-cell', 'Leukemic T-cell'] | ['Cell projection', 'Lamellipodium'] | ['EBI-747693', 'EBI-1045887', 'EBI-6983382'] | Rho guanine nucleotide  | chain
ARHG7_HUMAN | ['Bone marrow', 'Amygdala', 'Brain, Testis', 'Neuroblastoma', 'Cervix carcinoma', 'Leukemic T-cell'] | ['Cell junction', 'Focal adhesion', 'Cell projection', 'Ruffle', 'Cytoplasm', 'Cell cortex', 'Lamellipodium'] | ['EBI-518228', 'EBI-466061', 'EBI-5323863', 'EBI-747693', 'EBI-1307', 'EBI-1045887', 'EBI-413628', 'EBI-357345', 'EBI-6983382'] | Rho guanine nucleotide  | chain
ARHG8_HUMAN | ['Neuroepithelium', 'Eye, Placenta', 'Cervix carcinoma', 'Leukemic T-cell'] | ['Cytoplasm', 'Nucleus'] | ['EBI-518228', 'EBI-466061', 'EBI-5323863', 'EBI-747693', 'EBI-1307', 'EBI-1045887', 'EBI-413628', 'EBI-357345', 'EBI-6983382'] | Neuroepithelial cell-transforming gene  | chain
ARHG9_HUMAN | ['Brain', 'Brain, Hippocampus', 'Brain, Uterus'] | ['Cytoplasm'] | ['EBI-518228', 'EBI-466061', 'EBI-5323863', 'EBI-747693', 'EBI-1307', 'EBI-1045887', 'EBI-413628', 'EBI-357345', 'EBI-6983382'] | Rho guanine nucleotide  | chain
ARHGA_HUMAN | ['Testis', 'Brain', 'Duodenum, Prostate, Uterus', 'Brain', 'Cervix carcinoma'] | [] | ['EBI-3931791'] | Rho guanine nucleotide  | chain
ARHGB_HUMAN | ['Brain', 'Skin', 'Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm', 'Membrane'] | ['EBI-886', 'EBI-6169263', 'EBI-772938', 'EBI-389883', 'EBI-446668', 'EBI-7864788'] | Rho guanine nucleotide  | chain
ARHGC_HUMAN | ['Prostate', 'Thyroid', 'Brain', 'Embryonic kidney', 'Cervix carcinoma', 'Platelet', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm', 'Membrane'] | ['EBI-475981', 'EBI-7512335', 'EBI-446668'] | Rho guanine nucleotide  | initiator methionine
ARHGF_HUMAN | ['Brain', 'Placenta', 'Lung'] | ['Cell projection', 'Dendrite'] | ['EBI-475981', 'EBI-7512335', 'EBI-446668'] | Rho guanine nucleotide  | chain
ARHGG_HUMAN | ['PNS', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm'] | ['EBI-475981', 'EBI-7512335', 'EBI-446668'] | Rho guanine nucleotide  | initiator methionine
ARHGH_HUMAN | ['Brain, Colon', 'Embryo', 'Brain', 'Cervix carcinoma', 'Cervix carcinoma'] | [] | ['EBI-475981', 'EBI-7512335', 'EBI-446668'] | Rho guanine nucleotide  | chain
ARHGI_HUMAN | ['Brain', 'Brain', 'Lymph', 'Cervix carcinoma'] | ['Cytoplasm'] | ['EBI-475981', 'EBI-7512335', 'EBI-446668'] | Rho guanine nucleotide  | chain
ARHGJ_HUMAN | ['Tongue', 'Colon, Pancreas'] | [] | ['EBI-446668'] | Rho guanine nucleotide  | chain
ARHGP_HUMAN | ['Brain', 'Brain'] | ['Cell membrane', 'Cytoplasm', 'Myofibril', 'Sarcomere'] | ['EBI-446668'] | Rho guanine nucleotide  | chain
ARHGQ_HUMAN | ['Prostatic carcinoma', 'Brain', 'Liver', 'Prostate, Testis', 'Testis', 'Leukemic T-cell'] | ['Cell projection', 'Ruffle'] | ['EBI-446668'] | Rho guanine nucleotide  | chain
ARHL1_HUMAN | ['Ovary'] | [] | ['EBI-446668'] | [Protein ADP-ribosylarginine] hydrolase-like  | chain
ARHL2_HUMAN | ['Liver cancer', 'Thyroid', 'Skin'] | ['Cytoplasm', 'Mitochondrion matrix', 'Nucleus'] | ['EBI-446668'] | Poly(ADP-ribose) glycohydrolase ARH3  | transit peptide
ARH_HUMAN | ['Uterus', 'Brain', 'Cervix carcinoma'] | ['Cytoplasm'] | ['EBI-432924'] | Low density lipoprotein  | chain
ARI1A_HUMAN | ['Brain', 'Gastric mucosa', 'Cervix carcinoma', 'Cervix carcinoma', 'Embryonic kidney', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Nucleus'] | ['EBI-2507362', 'EBI-679562', 'EBI-302489'] | AT-rich interactive domain-containing  | initiator methionine
ARI1B_HUMAN | ['Brain', 'Brain', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Nucleus'] | ['EBI-679562', 'EBI-302489'] | AT-rich interactive domain-containing  | initiator methionine
ARI1_HUMAN | ['Fetal brain', 'Brain', 'Brain', 'Brain', 'Brain', 'Monocyte'] | ['Cytoplasm'] | ['EBI-679562', 'EBI-302489'] | ubiquitin-protein ligase  | chain
ARI2O_HUMAN | ['Testis'] | ['Membrane'] | ['EBI-679562', 'EBI-302489'] | Uncharacterized protein ARIH2OS  | chain
ARI2_HUMAN | ['Hypothalamus', 'Muscle', 'Embryonic kidney'] | ['Nucleus', 'Cytoplasm'] | ['EBI-366083', 'EBI-711173'] | ubiquitin-protein ligase  | chain
